"posterior_row","iteration","tree_no","map_within_draw","total_changes","q12","q13","q21","q24","q31","q34","q42","q43"
430,730000,1,1,1548,52,98,174,1,238,306,98,581
431,731000,1,1,1744,42,106,217,3,232,431,117,596
432,732000,1,1,1438,50,96,175,2,232,306,100,477
433,733000,1,1,1520,28,96,171,9,227,350,105,534
434,734000,1,1,1563,24,98,188,5,243,373,91,541
435,735000,1,1,1539,26,82,130,14,248,388,107,544
436,736000,1,1,1674,47,102,151,13,259,441,90,571
437,737000,1,1,1597,63,88,184,6,253,373,83,547
438,738000,1,1,1719,14,94,167,4,259,478,102,601
439,739000,1,1,1687,26,99,158,0,269,433,87,615
440,740000,1,1,1500,43,88,121,4,252,364,83,545
441,741000,1,1,1649,13,93,160,3,256,383,88,653
442,742000,1,1,1689,64,98,163,3,255,366,89,651
443,743000,1,1,1758,23,80,209,4,255,466,126,595
444,744000,1,1,1702,16,96,167,3,252,402,93,673
445,745000,1,1,1595,38,91,173,3,272,372,83,563
446,746000,1,1,1692,57,84,177,3,289,366,91,625
447,747000,1,1,1692,22,94,171,8,261,406,85,645
448,748000,1,1,1553,33,101,144,2,269,329,83,592
449,749000,1,1,1732,51,87,167,9,273,426,78,641
450,750000,1,1,1952,62,99,230,8,222,535,116,680
451,751000,1,1,1518,15,99,173,4,232,339,99,557
452,752000,1,1,1746,22,100,195,2,222,462,109,634
453,753000,1,1,1597,36,110,189,2,234,378,98,550
454,754000,1,1,1662,18,99,163,1,248,449,97,587
455,755000,1,1,1675,28,102,179,3,249,405,83,626
456,756000,1,1,1584,36,95,150,0,257,371,88,587
457,757000,1,1,1645,16,90,181,8,261,421,102,566
458,758000,1,1,1557,58,90,149,9,257,326,84,584
459,759000,1,1,1402,25,102,192,5,253,251,100,474
460,760000,1,1,1768,54,100,192,2,270,394,93,663
461,761000,1,1,1456,25,108,166,1,257,299,95,505
462,762000,1,1,1716,23,109,230,3,232,407,106,606
463,763000,1,1,1374,24,95,159,6,252,298,96,444
464,764000,1,1,1397,31,89,181,4,229,291,114,458
465,765000,1,1,1437,29,110,138,0,247,317,98,498
466,766000,1,1,1746,32,92,190,3,246,479,86,618
467,767000,1,1,1686,25,98,149,5,256,420,96,637
468,768000,1,1,1556,34,90,187,6,231,384,94,530
469,769000,1,1,1555,31,92,226,9,233,328,109,527
470,770000,1,1,1631,55,93,192,1,242,367,93,588
471,771000,1,1,1556,34,93,177,4,236,363,93,556
472,772000,1,1,1504,20,88,186,10,233,311,100,556
473,773000,1,1,1598,44,107,163,0,246,370,102,566
474,774000,1,1,1699,54,95,213,3,248,403,102,581
475,775000,1,1,1463,40,95,182,15,230,310,99,492
476,776000,1,1,1558,7,96,169,4,256,353,100,573
477,777000,1,1,1578,10,88,169,5,225,400,105,576
478,778000,1,1,1591,55,82,164,12,251,368,86,573
479,779000,1,1,1545,50,100,143,2,256,353,95,546
480,780000,1,1,1633,68,106,158,1,292,365,74,569
481,781000,1,1,1732,36,98,167,10,250,421,98,652
482,782000,1,1,1559,52,109,164,9,268,340,81,536
483,783000,1,1,1568,55,95,228,7,235,280,110,558
484,784000,1,1,1703,12,88,209,4,227,459,123,581
485,785000,1,1,1592,54,100,192,8,262,324,90,562
486,786000,1,1,1605,48,103,138,8,249,397,105,557
